Street,Location_Id,City,State_Id,State
Timberlane Drive,1256,Phoenix,CT,Oregon
Carpinteria Avenue,1257,Atlanta,RI,Oklahoma
Camelback Rd,1258,Little Rock,ME,Montana
Erringer Road,1259,Lansing,CA,New York
Via Real,1260,Juneau,CO,Iowa
Cerrillos Road,1261,Austin,WV,Washington
Padre Boulevard,1262,Austin,AZ,Oklahoma
San Ysidro Blvd,1263,Columbia,OK,North Carolina
Apalachee Parkway,1264,Juneau,OK,Alabama
Carpinteria North,1265,Atlanta,MS,Maine
Lawrenceville Suwanee,1266,Trenton,MI,Louisiana
Monroe Street,1267,Olympia,FL,South Carolina
East 1st Street,1268,Dover,MT,Arizona
Richmond Hill,1269,Olympia,SD,Maine
N Harrison St,1270,Hartford,VT,Michigan
San Luis Obispo North,1271,Des Moines,NM,North Dakota
Harbor Dr,1272,Little Rock,HI,Nevada
Santa Rosa South,1273,Hartford,GA,Texas
Corona Del Mar,1274,Columbus,AK,Florida
East Main Street,1275,Olympia,CO,North Dakota
Tanger Blvd,1276,Phoenix,DE,Maine
Fontaine Road,1277,Richmond,AK,Nebraska
Calle Real,1278,Charleston,GA,Louisiana
North Atherton Street,1279,Phoenix,CA,Kentucky
Carpinteria South,1280,Lincoln,MN,Washington
North Ventu Park Road,1281,Springfield,WA,Missouri
Richmond Hill,1282,Madison,TN,Tennessee
Santa Rosa North,1283,Columbus,TX,Oklahoma
Castillo Drive,1284,Trenton,NJ,New York
Bayshore Freeway,1285,Jackson,ID,Vermont
South Highway,1286,Des Moines,VA,Pennsylvania
Moreno Drive,1287,Montgomery,SC,Hawaii
Via Real,1288,Bismarck,MA,Nevada
Erringer Road,1289,Madison,MO,Colorado
Milpas Street,1290,Jefferson City,MS,Vermont
Carpinteria South,1291,Hartford,UT,Washington
East Fry Blvd.,1292,Topeka,TN,Arkansas
Tanger Blvd,1293,Pierre,HI,Michigan
North Erringer Road,1294,Nashville,IN,West Virginia
Milpas Street,1295,Des Moines,OR,New York
Jean de la Fontaine,1296,Phoenix,MS,Tennessee
East 1st Street,1297,Denver,TN,South Carolina
Lake Tahoe Blvd.,1298,Dover,OH,Tennessee
Bailard Avenue,1299,Lansing,TX,Oklahoma
Cleveland Ave.,1300,Des Moines,CT,South Dakota
Lake Tahoe Blvd.,1301,Montpelier,IA,Iowa
San Marcos,1302,Des Moines,DE,Alaska
Pacific Hwy S,1303,Denver,NV,Iowa
Lawrenceville Suwanee,1304,Juneau,TN,New Jersey
Cleveland Ave.,1305,Nashville,AK,North Dakota
Harbor Dr,1306,Harrisburg,HI,New Hampshire
South Highway,1307,Charleston,NE,Nevada
Calle Real,1308,Albany,NC,Tennessee
French Camp Turnpike Road,1309,Saint Paul,CA,Minnesota
Timberlane Drive,1310,Little Rock,WA,Georgia
Carpinteria North,1311,Phoenix,AR,Rhode Island
East Fry Blvd.,1312,Nashville,TN,West Virginia
Timberlane Drive,1313,Jefferson City,ID,New Mexico
San Marcos,1314,Cheyenne,GA,Illinois
Lindbergh Blvd,1315,Harrisburg,IA,New York
East Fry Blvd.,1316,Providence,WA,Mississippi
Cerrillos Road,1317,Jefferson City,MI,Tennessee
Bayshore Freeway,1318,Denver,ME,Georgia
Steele Lane,1319,Albany,MI,Montana
Westside Freeway,1320,Frankfort,KY,Wisconsin
El Camino Real,1321,Cheyenne,CA,Indiana
Woodson Rd.,1322,Honolulu,OK,Florida
Corona Del Mar,1323,Concord,SD,Arizona
East Fry Blvd.,1324,Salem,UT,Oregon
Santa Ana Freeway,1325,Montpelier,OK,Montana
Lake Tahoe Blvd.,1326,Olympia,HI,Nevada
Castillo Drive,1327,Raleigh,CO,Mississippi
French Camp Turnpike Road,1328,Saint Paul,RI,West Virginia
Lake Tahoe Blvd.,1329,Salt Lake City,NE,North Dakota
N Kentwood,1330,Dover,CT,Wisconsin
Carpinteria Avenue,1331,Charleston,TX,Alaska
East 1st Street,1332,Des Moines,SC,Delaware
Richmond Hill,1333,Columbus,TN,Tennessee
Lindbergh Blvd,1334,Des Moines,AL,Texas
Pacific Hwy S,1335,Sacramento,OK,New Jersey
Timberlane Drive,1336,Montpelier,ND,Connecticut
North Atherton Street,1337,Boise,NC,Pennsylvania
Redwood Highway,1338,Montpelier,NE,Florida
South Roosevelt Drive,1339,Santa Fe,OH,Idaho
North Preisker Lane,1340,Madison,NE,Idaho
North Atherton Street,1341,Denver,NV,Nebraska
Westside Freeway,1342,Topeka,OK,Michigan
North Erringer Road,1343,Indianapolis,UT,Pennsylvania
Bailard Avenue,1344,Hartford,ND,Virginia
Lindbergh Blvd,1345,Bismarck,OK,Oregon
Carpinteria North,1346,Santa Fe,NH,Delaware
Jean de la Fontaine,1347,Lincoln,AZ,Pennsylvania
Calle Real,1348,Salt Lake City,NJ,California
Harbor Dr,1349,Lansing,GA,Minnesota
Fontaine Road,1350,Madison,AR,Maryland
Lake Tahoe Blvd.,1351,Lincoln,NC,Vermont
Moreno Drive,1352,Baton Rouge,RI,Georgia
Richmond Hill,1353,Salt Lake City,DE,Massachusetts
Corona Del Mar,1354,Bismarck,HI,Wisconsin
Cabrillo Highway,1355,Bismarck,KS,Utah
Katella Avenue,1356,Salt Lake City,CA,Delaware
French Camp Turnpike Road,1357,Topeka,NE,Nevada
North Ventu Park Road,1358,Dover,VA,New Mexico
East Fry Blvd.,1359,Austin,OH,Maryland
Jones Road,1360,Austin,NJ,Iowa
Santa Monica Road,1361,Denver,IN,Wisconsin
E Fowler Avenue,1362,Saint Paul,CT,Hawaii
Tanger Blvd,1363,Des Moines,MA,Arkansas
Fairview Avenue,1364,Phoenix,IL,Kentucky
Milpas Street,1365,Lincoln,ND,Missouri
El Camino Real,1366,Carson City,CT,Alaska
Bowles Avenue,1367,Denver,NE,Colorado
Calle Real,1368,Trenton,HI,Oregon
Woodson Rd.,1369,Baton Rouge,AK,Georgia
Timberlane Drive,1370,Providence,WV,Montana
Jones Road,1371,Honolulu,SD,Nebraska
Milpas Street,1372,Salem,CO,Tennessee
Grandview Drive,1373,Helena,CA,Rhode Island
Hutchinson Rd,1374,Providence,CA,Idaho
Pacific Hwy S,1375,Baton Rouge,IN,New Hampshire
Bayshore Freeway,1376,Boise,PA,Florida
S Rustle St,1377,Atlanta,LA,New York
Jones Road,1378,Nashville,CT,Georgia
French Camp Turnpike Road,1379,Pierre,NV,New York
Carpinteria Avenue,1380,Raleigh,ID,Alaska
Padre Boulevard,1381,Richmond,KS,Illinois
Cabrillo Highway,1382,Boise,CO,Rhode Island
Richmond Hill,1383,Carson City,MS,West Virginia
Calle Real,1384,Oklahoma City,TN,Nebraska
Timberlane Drive,1385,Madison,KY,Tennessee
East Calle Primera,1386,Columbia,NC,North Carolina
North Erringer Road,1387,Montpelier,RI,New Mexico
Lake Tahoe Blvd.,1388,Pierre,MT,Vermont
Santa Monica Road,1389,Columbia,NJ,Kentucky
East Fry Blvd.,1390,Carson City,SD,Tennessee
Richmond Hill,1391,Bismarck,MN,Montana
N Harrison St,1392,Indianapolis,NM,Alabama
E Fowler Avenue,1393,Concord,ND,Delaware
Moreno Drive,1394,Raleigh,WI,North Carolina
Woodson Rd.,1395,Phoenix,ID,Missouri
Padre Boulevard,1396,Honolulu,SC,Colorado
Bowles Avenue,1397,Austin,OR,Oregon
Lindbergh Blvd,1398,Salem,OR,Mississippi
Pacific Hwy S,1399,Jackson,CO,Maryland
Richmond Hill,1400,Carson City,NM,Georgia
Harry S Truman Blvd,1401,Boise,ID,Rhode Island
San Ysidro Blvd,1402,Carson City,MI,Maine
Harry S Truman Blvd,1403,Raleigh,HI,Oregon
Cerrillos Road,1404,Boston,TX,New York
Cleveland Ave.,1405,Hartford,WV,Utah
Katella Avenue,1406,Santa Fe,NV,Connecticut
S Rustle St,1407,Denver,VT,New Jersey
North Atherton Street,1408,Boston,TN,New Hampshire
Fontaine Road,1409,Frankfort,OK,Hawaii
North Atherton Street,1410,Salem,MA,New Mexico
Via Real,1411,Atlanta,NM,Idaho
N Kentwood,1412,Des Moines,IA,Nebraska
North Broadway Street,1413,Little Rock,CA,Montana
Tanger Blvd,1414,Pierre,NH,Idaho
E Fowler Avenue,1415,Boston,IA,Nebraska
Westside Freeway,1416,Santa Fe,OR,Ohio
Tully Road East,1417,Boston,MD,Rhode Island
S Rustle St,1418,Trenton,UT,Kentucky
Westside Freeway,1419,Oklahoma City,TX,Virginia
South Roosevelt Drive,1420,Tallahassee,TX,California
Grandview Drive,1421,Frankfort,IL,Virginia
Timberlane Drive,1422,Columbia,VT,Nebraska
Santa Ana Freeway,1423,Lincoln,NY,Massachusetts
Padre Boulevard,1424,Frankfort,UT,New Mexico
Katella Avenue,1425,Pierre,WI,California
Hutchinson Rd,1426,Salt Lake City,WV,Rhode Island
Hutchinson Rd,1427,Honolulu,AR,New Jersey
South Highway,1428,Bismarck,MD,Pennsylvania
Monroe Street,1429,Montpelier,PA,South Dakota
Grandview Drive,1430,Lincoln,WA,Nevada
Cabrillo Highway,1431,Trenton,NM,West Virginia
Bowles Avenue,1432,Honolulu,NH,Nebraska
Bowles Avenue,1433,Frankfort,IN,Kansas
Apalachee Parkway,1434,Harrisburg,NY,Rhode Island
Grandview Drive,1435,Richmond,OH,New York
North Broadway Street,1436,Montpelier,OH,Maine
Apalachee Parkway,1437,Annapolis,OK,Louisiana
Jones Road,1438,Oklahoma City,MI,West Virginia
Carpinteria North,1439,Salt Lake City,NV,Virginia
Pacific Hwy S,1440,Boston,KS,Georgia
Monroe Street,1441,Salem,HI,Hawaii
Redwood Highway,1442,Frankfort,OK,Delaware
Via Real,1443,Phoenix,MN,Indiana
Monroe Street,1444,Hartford,ME,Nevada
Fontaine Road,1445,Montpelier,RI,Oregon
South Roosevelt Drive,1446,Annapolis,SD,Minnesota
Pacific Hwy S,1447,Jackson,VA,Tennessee
Lindbergh Blvd,1448,Dover,NC,Arkansas
Jones Road,1449,Indianapolis,NY,North Carolina
Redwood Highway,1450,Springfield,AZ,Iowa
Lindbergh Blvd,1451,Jackson,VT,Florida
Grandview Drive,1452,Honolulu,NV,Rhode Island
Santa Rosa South,1453,Lansing,MS,Missouri
Timberlane Drive,1454,Jefferson City,NM,Kentucky
Cleveland Ave.,1455,Lincoln,MN,Arkansas
W. Russell St.,1456,Topeka,NV,Colorado
Grandview Drive,1457,Jefferson City,ID,South Carolina
Jean de la Fontaine,1458,Olympia,HI,New York
San Simeon,1459,Saint Paul,TX,Arizona
North Ventu Park Road,1460,Montpelier,PA,Ohio
East Calle Primera,1461,Topeka,HI,Florida
Steele Lane,1462,Bismarck,AZ,Michigan
Hutchinson Rd,1463,Pierre,WA,Maine
North Preisker Lane,1464,Frankfort,CA,Vermont
Greenwood Road,1465,Augusta,MS,Montana
East 1st Street,1466,Montgomery,FL,Vermont
Padre Boulevard,1467,Salt Lake City,TX,South Carolina
Greenwood Road,1468,Raleigh,MN,Texas
Apalachee Parkway,1469,Carson City,CT,Rhode Island
San Simeon,1470,Honolulu,SD,Pennsylvania
Camelback Rd,1471,Boston,GA,Indiana
Santa Rosa South,1472,Saint Paul,KY,New Jersey
Timberlane Drive,1473,Raleigh,RI,Indiana
Cabrillo Highway,1474,Dover,MT,Alaska
Burnett Road,1475,Topeka,SD,Missouri
San Marcos,1476,Concord,CT,Indiana
Lindbergh Blvd,1477,Madison,KY,Iowa
Fontaine Road,1478,Lincoln,WY,Nevada
Via Real,1479,Olympia,MS,Ohio
San Ysidro Blvd,1480,Bismarck,KY,Nebraska
Santa Rosa South,1481,Boise,TX,Michigan
Padre Boulevard,1482,Des Moines,OR,Connecticut
San Simeon,1483,Cheyenne,KY,Missouri
Monroe Street,1484,Saint Paul,WV,Virginia
Calle Real,1485,Helena,WV,Wisconsin
Carpinteria Avenue,1486,Harrisburg,CA,Louisiana
South Roosevelt Drive,1487,Trenton,ME,Missouri
S Rustle St,1488,Trenton,PA,Washington
North Preisker Lane,1489,Lincoln,LA,Iowa
South Roosevelt Drive,1490,Boston,GA,Arizona
Castillo Drive,1491,Springfield,WI,Rhode Island
Carpinteria North,1492,Providence,CT,Kansas
Moreno Drive,1493,Columbia,SC,Oklahoma
Bayshore Freeway,1494,Trenton,IN,Michigan
Lake Tahoe Blvd.,1495,Olympia,CA,Michigan
Monroe Street,1496,Little Rock,MT,Kansas
Woodson Rd.,1497,Augusta,HI,New Jersey
Camelback Rd,1498,Indianapolis,AL,North Carolina
Lindbergh Blvd,1499,Frankfort,ME,Kentucky
Milpas Street,1500,Concord,PA,Arizona
Redwood Highway,1501,Denver,VT,Delaware
Bailard Avenue,1502,Montpelier,MA,Delaware
S Rustle St,1503,Indianapolis,ND,Rhode Island
Hutchinson Rd,1504,Topeka,TX,Oregon
North Broadway Street,1505,Helena,IA,South Carolina
East Calle Primera,1506,Tallahassee,CO,New Mexico
W. Russell St.,1507,Oklahoma City,MS,Oregon
Timberlane Drive,1508,Jefferson City,ND,Mississippi
Harbor Dr,1509,Helena,AK,Vermont
Via Real,1510,Providence,TN,Iowa
Apalachee Parkway,1511,Helena,KY,Massachusetts
W. Russell St.,1512,Raleigh,MS,North Carolina
East Calle Primera,1513,Montpelier,NC,Alaska
Richmond Hill,1514,Austin,WA,New Jersey
Redwood Highway,1515,Jefferson City,OK,California
Carpinteria North,1516,Sacramento,SC,Alaska
Newbury Road,1517,Albany,MT,Colorado
Steele Lane,1518,Jefferson City,LA,New York
El Camino Real,1519,Dover,WY,New Hampshire
Jean de la Fontaine,1520,Concord,MT,New Hampshire
W. Russell St.,1521,Dover,HI,Georgia
Santa Ana Freeway,1522,Concord,CO,Arkansas
Carpinteria South,1523,Boise,AZ,Nebraska
Pacific Hwy S,1524,Des Moines,SC,Florida
Santa Rosa North,1525,Little Rock,WI,South Dakota
Milpas Street,1526,Saint Paul,LA,Arizona
North Preisker Lane,1527,Sacramento,MO,Hawaii
Camelback Rd,1528,Saint Paul,ME,Maine
Richmond Hill,1529,Santa Fe,TX,Nevada
East Calle Primera,1530,Pierre,CO,Arkansas
North Ventu Park Road,1531,Des Moines,PA,New York
North Broadway Street,1532,Baton Rouge,VT,Iowa
Via Real,1533,Salt Lake City,OR,New Jersey
San Diego Freeway,1534,Columbus,MO,North Carolina
W. Russell St.,1535,Pierre,KY,Arizona
East Fry Blvd.,1536,Indianapolis,MO,Virginia
Calle Real,1537,Phoenix,CA,South Carolina
Via Real,1538,Raleigh,AL,Indiana
Harry S Truman Blvd,1539,Tallahassee,CT,New Mexico
Harbor Dr,1540,Des Moines,SD,Nevada
Santa Monica Road,1541,Carson City,SC,Wyoming
San Ysidro Blvd,1542,Charleston,CO,Arkansas
Tanger Blvd,1543,Juneau,NE,Maine
Bailard Avenue,1544,Atlanta,MD,Utah
Harry S Truman Blvd,1545,Baton Rouge,CO,Rhode Island
East 1st Street,1546,Columbus,FL,Minnesota
Grandview Drive,1547,Trenton,ME,North Dakota
South Roosevelt Drive,1548,Montpelier,RI,Maine
S Rustle St,1549,Salt Lake City,GA,Idaho
Grandview Drive,1550,Lincoln,WY,North Dakota
Cleveland Ave.,1551,Albany,VT,Iowa
Pacific Hwy S,1552,Oklahoma City,OK,New Jersey
Timberlane Drive,1553,Indianapolis,MT,New York
Tully Road East,1554,Columbus,NC,West Virginia
San Ysidro Blvd,1555,Pierre,VA,Montana
Timberlane Drive,1556,Denver,OR,Ohio
North Erringer Road,1557,Springfield,KS,Missouri
Timberlane Drive,1558,Springfield,TX,Nevada
W. Russell St.,1559,Salt Lake City,IL,Minnesota
Corona Del Mar,1560,Frankfort,MO,New Hampshire
Milpas Street,1561,Salem,MA,California
East 1st Street,1562,Honolulu,AK,Nebraska
San Marcos,1563,Richmond,OR,Wyoming
Santa Monica Road,1564,Columbus,AL,Louisiana
South Roosevelt Drive,1565,Bismarck,NJ,West Virginia
Pacific Hwy S,1566,Des Moines,WI,Montana
Pacific Hwy S,1567,Topeka,MO,Mississippi
W. Russell St.,1568,Hartford,ID,Texas
Erringer Road,1569,Salem,KY,Tennessee
East 1st Street,1570,Madison,FL,Massachusetts
Bowles Avenue,1571,Lansing,LA,North Carolina
El Camino Real,1572,Little Rock,AK,Kansas
Cleveland Ave.,1573,Trenton,MI,Hawaii
East Fry Blvd.,1574,Lincoln,WI,New Jersey
Tanger Blvd,1575,Jefferson City,SC,Arkansas
Santa Ana Freeway,1576,Salem,IL,Virginia
San Luis Obispo North,1577,Juneau,AZ,Georgia
Cleveland Ave.,1578,Columbus,WI,Alaska
Carpinteria South,1579,Saint Paul,VT,Michigan
N Kentwood,1580,Nashville,WV,Iowa
Padre Boulevard,1581,Madison,DE,Arkansas
Calle Real,1582,Helena,TN,Missouri
S Rustle St,1583,Saint Paul,AL,Arizona
East Fry Blvd.,1584,Des Moines,IN,Hawaii
Calle Real,1585,Montpelier,NY,Alaska
San Luis Obispo North,1586,Sacramento,KY,Texas
S Rustle St,1587,Salt Lake City,NM,Indiana
Santa Monica Road,1588,Montpelier,PA,Iowa
Hutchinson Rd,1589,Pierre,NM,Maine
Richmond Hill,1590,Montpelier,IN,Texas
Calle Real,1591,Richmond,NH,Nebraska
Bayshore Freeway,1592,Annapolis,NE,New Jersey
Newbury Road,1593,Helena,KY,Kansas
North Broadway Street,1594,Helena,FL,Pennsylvania
East 1st Street,1595,Jefferson City,NY,Utah
San Simeon,1596,Tallahassee,CA,North Dakota
W. Russell St.,1597,Salem,MN,New Hampshire
North Broadway Street,1598,Harrisburg,NE,South Dakota
N Harrison St,1599,Trenton,WI,Rhode Island
San Simeon,1600,Denver,OH,New York
North Broadway Street,1601,Concord,WV,New Hampshire
East Calle Primera,1602,Concord,MA,Connecticut
North Erringer Road,1603,Providence,ME,New York
North Atherton Street,1604,Springfield,LA,Florida
Hutchinson Rd,1605,Montgomery,IA,Massachusetts
Burnett Road,1606,Little Rock,WA,New Jersey
Fontaine Road,1607,Atlanta,OR,Texas
Cleveland Ave.,1608,Frankfort,MD,Utah
Lindbergh Blvd,1609,Helena,IA,Utah
Westside Freeway,1610,Baton Rouge,HI,South Dakota
North Preisker Lane,1611,Pierre,NV,Alabama
W. Russell St.,1612,Concord,OH,New York
Katella Avenue,1613,Austin,IN,Hawaii
Fontaine Road,1614,Sacramento,WV,Kentucky
Katella Avenue,1615,Little Rock,ID,Maine
Carpinteria North,1616,Montpelier,VT,Ohio
South Roosevelt Drive,1617,Richmond,NY,Virginia
Jean de la Fontaine,1618,Denver,SD,Vermont
Apalachee Parkway,1619,Atlanta,RI,Wisconsin
Newbury Road,1620,Boston,KY,New Hampshire
Santa Ana Freeway,1621,Bismarck,AR,Virginia
Castillo Drive,1622,Dover,OH,Kentucky
El Camino Real,1623,Olympia,SD,Minnesota
East 1st Street,1624,Nashville,TN,Iowa
Erringer Road,1625,Boise,OR,Michigan
Tanger Blvd,1626,Boston,NJ,Utah
Carpinteria Avenue,1627,Tallahassee,MD,Ohio
Redwood Highway,1628,Madison,TX,Oregon
Westside Freeway,1629,Austin,KY,North Dakota
Lake Tahoe Blvd.,1630,Boston,OH,Tennessee
E Fowler Avenue,1631,Honolulu,MO,South Carolina
Newbury Road,1632,Raleigh,MI,Alaska
South Highway,1633,Little Rock,MD,Vermont
Harry S Truman Blvd,1634,Augusta,OK,Tennessee
Santa Rosa South,1635,Little Rock,CT,Hawaii
Bowles Avenue,1636,Annapolis,HI,North Carolina
Bayshore Freeway,1637,Lansing,NC,Kansas
El Camino Real,1638,Boise,IN,South Dakota
North Preisker Lane,1639,Montpelier,IN,Minnesota
Santa Rosa North,1640,Harrisburg,IA,Arizona
Jean de la Fontaine,1641,Providence,CT,Louisiana
Milpas Street,1642,Bismarck,WI,Rhode Island
San Diego Freeway,1643,Concord,SC,Oregon
Tully Road East,1644,Charleston,OH,Connecticut
Santa Rosa North,1645,Tallahassee,SC,North Dakota
Steele Lane,1646,Trenton,CA,North Carolina
East Main Street,1647,Trenton,WV,New Mexico
Greenwood Road,1648,Providence,IA,Colorado
San Marcos,1649,Augusta,KS,Missouri
Santa Rosa South,1650,Topeka,NJ,Colorado
East 1st Street,1651,Augusta,VT,Colorado
Richmond Hill,1652,Montpelier,IN,Connecticut
Milpas Street,1653,Austin,MA,New Mexico
Harbor Dr,1654,Saint Paul,WA,Arkansas
Lake Tahoe Blvd.,1655,Phoenix,CA,Vermont
Santa Monica Road,1656,Harrisburg,SD,Ohio
E Fowler Avenue,1657,Topeka,NY,Connecticut
North Broadway Street,1658,Concord,KY,Indiana
Fairview Avenue,1659,Columbia,LA,Ohio
Erringer Road,1660,Baton Rouge,UT,New Jersey
Apalachee Parkway,1661,Olympia,LA,Pennsylvania
East Calle Primera,1662,Indianapolis,WA,New Hampshire
Camelback Rd,1663,Charleston,WV,New Jersey
Timberlane Drive,1664,Boise,SC,Ohio
Fontaine Road,1665,Madison,AK,Texas
Grandview Drive,1666,Atlanta,NE,Kentucky
Jones Road,1667,Trenton,DE,Minnesota
Carpinteria South,1668,Augusta,MA,Kansas
Calle Real,1669,Salem,MO,Pennsylvania
Grandview Drive,1670,Cheyenne,AL,Virginia
Katella Avenue,1671,Olympia,MA,Vermont
Harbor Dr,1672,Tallahassee,NY,Iowa
Camelback Rd,1673,Hartford,UT,Oregon
Carpinteria Avenue,1674,Dover,NH,Hawaii
N Harrison St,1675,Lincoln,VT,South Dakota
Fontaine Road,1676,Dover,OK,North Dakota
Katella Avenue,1677,Harrisburg,MS,Florida
East 1st Street,1678,Austin,WI,Virginia
Jones Road,1679,Trenton,ND,Hawaii
East 1st Street,1680,Saint Paul,NC,Massachusetts
Camelback Rd,1681,Jefferson City,DE,Montana
Pacific Hwy S,1682,Topeka,AK,New Hampshire
Lake Tahoe Blvd.,1683,Saint Paul,VT,Utah
W. Russell St.,1684,Boise,WV,Maine
E Fowler Avenue,1685,Montgomery,TX,Washington
Grandview Drive,1686,Bismarck,AZ,New Hampshire
Cleveland Ave.,1687,Des Moines,OH,Washington
Erringer Road,1688,Cheyenne,IN,Vermont
Burnett Road,1689,Helena,HI,New York
Cleveland Ave.,1690,Phoenix,NY,Utah
Jones Road,1691,Nashville,MI,Oklahoma
Santa Ana Freeway,1692,Topeka,MN,Nebraska
Jones Road,1693,Sacramento,OR,Massachusetts
Westside Freeway,1694,Santa Fe,GA,South Dakota
Newbury Road,1695,Austin,HI,Massachusetts
Bailard Avenue,1696,Lincoln,AR,Connecticut
Padre Boulevard,1697,Nashville,RI,New Mexico
W. Russell St.,1698,Helena,AR,Illinois
Camelback Rd,1699,Harrisburg,CA,Connecticut
Cleveland Ave.,1700,Providence,AK,Arkansas
East Calle Primera,1701,Phoenix,TN,Nebraska
Bowles Avenue,1702,Boston,LA,North Carolina
Katella Avenue,1703,Concord,OK,Texas
Grandview Drive,1704,Salt Lake City,IN,Louisiana
Richmond Hill,1705,Charleston,ME,Alaska
North Broadway Street,1706,Jackson,NE,Rhode Island
Katella Avenue,1707,Salem,MA,West Virginia
Bowles Avenue,1708,Montpelier,VA,Arizona
San Luis Obispo North,1709,Little Rock,GA,Florida
Fairview Avenue,1710,Sacramento,CO,Vermont
North Ventu Park Road,1711,Frankfort,MD,Arizona
Carpinteria North,1712,Boston,WV,New Mexico
Carpinteria South,1713,Baton Rouge,LA,Alaska
E Fowler Avenue,1714,Salem,IN,Kentucky
Fontaine Road,1715,Providence,AL,Tennessee
Jean de la Fontaine,1716,Richmond,AK,North Carolina
S Rustle St,1717,Helena,OR,Michigan
Steele Lane,1718,Salem,CT,South Carolina
N Kentwood,1719,Baton Rouge,AZ,Missouri
Lawrenceville Suwanee,1720,Atlanta,MO,Connecticut
San Marcos,1721,Charleston,MN,South Dakota
Bowles Avenue,1722,Cheyenne,SD,Iowa
South Roosevelt Drive,1723,Boise,SC,Kentucky
Burnett Road,1724,Sacramento,VA,Nebraska
Bayshore Freeway,1725,Helena,OK,California
Tanger Blvd,1726,Des Moines,WI,Indiana
South Roosevelt Drive,1727,Santa Fe,MA,Maryland
Richmond Hill,1728,Springfield,NM,California
Calle Real,1729,Santa Fe,GA,Mississippi
Fairview Avenue,1730,Augusta,NJ,Kentucky
Moreno Drive,1731,Little Rock,VT,West Virginia
East Calle Primera,1732,Salem,TX,Montana
Padre Boulevard,1733,Dover,KY,Ohio
Katella Avenue,1734,Salt Lake City,NJ,Nebraska
Monroe Street,1735,Olympia,MN,Maine
Cerrillos Road,1736,Jackson,GA,Massachusetts
Cleveland Ave.,1737,Bismarck,DE,Kentucky
El Camino Real,1738,Montgomery,VA,Hawaii
Cabrillo Highway,1739,Helena,ME,Tennessee
Apalachee Parkway,1740,Dover,NH,New York
Westside Freeway,1741,Jackson,ME,Illinois
San Luis Obispo North,1742,Columbus,WA,Wisconsin
Timberlane Drive,1743,Denver,IL,South Dakota
North Broadway Street,1744,Denver,AR,Missouri
Carpinteria South,1745,Hartford,UT,Illinois
Moreno Drive,1746,Atlanta,TN,Kansas
Steele Lane,1747,Carson City,NH,California
Jean de la Fontaine,1748,Pierre,WY,Ohio
Steele Lane,1749,Oklahoma City,OR,New Mexico
North Ventu Park Road,1750,Raleigh,MT,Michigan
Jean de la Fontaine,1751,Montpelier,FL,Connecticut
North Preisker Lane,1752,Albany,TX,Wisconsin
Lindbergh Blvd,1753,Salem,LA,Indiana
Newbury Road,1754,Columbia,NE,Virginia
San Diego Freeway,1755,Harrisburg,ND,Arizona
French Camp Turnpike Road,1756,Sacramento,AZ,West Virginia
San Luis Obispo North,1757,Des Moines,NM,South Dakota
Erringer Road,1758,Jefferson City,TN,Idaho
Calle Real,1759,Carson City,AZ,Louisiana
Moreno Drive,1760,Honolulu,ID,Montana
Camelback Rd,1761,Raleigh,WY,Massachusetts
Padre Boulevard,1762,Boston,KY,Wyoming
Lawrenceville Suwanee,1763,Salem,NJ,Minnesota
Corona Del Mar,1764,Pierre,CA,Wisconsin
Cleveland Ave.,1765,Salt Lake City,AZ,North Dakota
Burnett Road,1766,Salt Lake City,MD,Vermont
North Erringer Road,1767,Jefferson City,CT,Rhode Island
Corona Del Mar,1768,Austin,NM,Louisiana
Camelback Rd,1769,Salem,AR,Kansas
Tanger Blvd,1770,Honolulu,IL,Florida
East Fry Blvd.,1771,Baton Rouge,IN,Wyoming
Cerrillos Road,1772,Des Moines,NJ,Arizona
Cleveland Ave.,1773,Carson City,TX,Texas
San Marcos,1774,Denver,NY,Virginia
North Ventu Park Road,1775,Denver,MD,Indiana
Jean de la Fontaine,1776,Madison,NC,Tennessee
East Main Street,1777,Montgomery,SD,Iowa
Jones Road,1778,Carson City,MO,Michigan
San Luis Obispo North,1779,Augusta,MT,North Dakota
Newbury Road,1780,Carson City,TN,Alaska
North Ventu Park Road,1781,Columbus,ND,Kentucky
Castillo Drive,1782,Hartford,NJ,West Virginia
Castillo Drive,1783,Santa Fe,WI,Utah
Katella Avenue,1784,Albany,TX,Virginia
Monroe Street,1785,Columbus,VT,Missouri
Corona Del Mar,1786,Topeka,WY,Texas
Steele Lane,1787,Cheyenne,CO,Rhode Island
Milpas Street,1788,Des Moines,MT,Colorado
Bailard Avenue,1789,Jefferson City,AZ,Illinois
Lindbergh Blvd,1790,Juneau,UT,Montana
Cerrillos Road,1791,Atlanta,CA,Alabama
Pacific Hwy S,1792,Nashville,CT,Florida
S Rustle St,1793,Hartford,TN,Maryland
North Broadway Street,1794,Salt Lake City,OR,Texas
North Preisker Lane,1795,Providence,CO,New Hampshire
Pacific Hwy S,1796,Jefferson City,OK,Pennsylvania
Burnett Road,1797,Honolulu,TX,Alabama
North Preisker Lane,1798,Cheyenne,NC,Wisconsin
Santa Rosa South,1799,Austin,UT,Florida
Pacific Hwy S,1800,Pierre,WA,Pennsylvania
S Rustle St,1801,Springfield,GA,Nebraska
Redwood Highway,1802,Austin,IN,Alaska
Carpinteria South,1803,Annapolis,OH,Pennsylvania
